GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
warehouse-manager,project.warehouse_manager,UnitFill.ListenForButton,162,0,14,0,26,0,9,0,2,0
warehouse-manager,project.warehouse_manager,Unit,1168,0,24,0,234,0,35,0,23,0
warehouse-manager,project.warehouse_manager,AdminLanding.ListenForButton,230,0,24,0,54,0,14,0,2,0
warehouse-manager,project.warehouse_manager,UnitAlter.ListenForButton,210,0,18,0,36,0,11,0,2,0
warehouse-manager,project.warehouse_manager,CustomerAlter,246,0,0,0,60,0,1,0,1,0
warehouse-manager,project.warehouse_manager,LoggedInFrame.ListenForButton,66,0,6,0,11,0,5,0,2,0
warehouse-manager,project.warehouse_manager,UnitData,140,0,4,0,49,0,23,0,21,0
warehouse-manager,project.warehouse_manager,CustomerLanding,328,0,0,0,78,0,1,0,1,0
warehouse-manager,project.warehouse_manager,CustomerAddRemove,287,0,0,0,69,0,1,0,1,0
warehouse-manager,project.warehouse_manager,Users,127,0,2,0,21,0,5,0,4,0
warehouse-manager,project.warehouse_manager,Main,142,0,0,0,29,0,3,0,3,0
warehouse-manager,project.warehouse_manager,Main.ListenForButton,148,0,8,0,32,0,6,0,2,0
warehouse-manager,project.warehouse_manager,UnitLanding,384,0,0,0,91,0,1,0,1,0
warehouse-manager,project.warehouse_manager,UnitDataComparator,9,0,0,0,2,0,2,0,2,0
warehouse-manager,project.warehouse_manager,AdminLanding,183,0,0,0,46,0,1,0,1,0
warehouse-manager,project.warehouse_manager,DatabaseHandler,34,0,0,0,9,0,1,0,1,0
warehouse-manager,project.warehouse_manager,CustomerAddRemove.ListenForButton,273,0,34,0,47,0,19,0,2,0
warehouse-manager,project.warehouse_manager,Customer,686,0,6,0,133,0,16,0,13,0
warehouse-manager,project.warehouse_manager,CustomerAlter.ListenForButton,223,0,22,0,39,0,13,0,2,0
warehouse-manager,project.warehouse_manager,LoggedInFrame,213,0,0,0,42,0,1,0,1,0
warehouse-manager,project.warehouse_manager,CustomerLanding.ListenForButton,424,0,32,0,70,0,18,0,2,0
warehouse-manager,project.warehouse_manager,UnitAlter,267,0,0,0,63,0,1,0,1,0
warehouse-manager,project.warehouse_manager,UnitLanding.ListenForButton,992,0,42,0,137,0,23,0,2,0
warehouse-manager,project.warehouse_manager,UnitFill,268,0,0,0,62,0,1,0,1,0
